StudentId,Gender,Class,Score,Subject,ExamDate
P0050,M,class 4,100,English,11/2/2012
P0050,M,class 4,24,Math,11/2/2012
P0050,M,class 4,79,History,11/2/2012
P0050,M,class 4,94,English,10/3/2012
P0050,M,class 4,44,Math,10/3/2012
P0050,M,class 4,62,History,10/3/2012
P0050,M,class 4,97,English,9/3/2012
P0050,M,class 4,32,Math,9/3/2012
P0050,M,class 4,98,History,9/3/2012
P0050,M,class 4,30,English,8/4/2012
P0050,M,class 4,26,Math,8/4/2012
P0050,M,class 4,83,History,8/4/2012
P0050,M,class 4,66,English,7/5/2012
P0050,M,class 4,7,Math,7/5/2012
P0050,M,class 4,66,History,7/5/2012
P0050,M,class 4,23,English,6/5/2012
P0050,M,class 4,31,Math,6/5/2012
P0050,M,class 4,61,History,6/5/2012
P0050,M,class 4,26,English,5/6/2012
P0050,M,class 4,100,Math,5/6/2012
P0050,M,class 4,81,History,5/6/2012
P0050,M,class 4,85,English,4/6/2012
P0050,M,class 4,16,Math,4/6/2012
P0050,M,class 4,64,History,4/6/2012
P0050,M,class 4,50,English,3/7/2012
P0050,M,class 4,79,Math,3/7/2012
P0050,M,class 4,66,History,3/7/2012
P0050,M,class 4,28,English,2/6/2012
P0050,M,class 4,81,Math,2/6/2012
P0050,M,class 4,79,History,2/6/2012
P0050,M,class 4,49,English,1/7/2012
P0050,M,class 4,60,Math,1/7/2012
P0050,M,class 4,70,History,1/7/2012
P0050,M,class 4,56,English,12/8/2011
P0050,M,class 4,9,Math,12/8/2011
P0050,M,class 4,30,History,12/8/2011
P0050,M,class 4,11,English,11/8/2011
P0050,M,class 4,18,Math,11/8/2011
P0050,M,class 4,46,History,11/8/2011
P0050,M,class 4,66,English,10/9/2011
P0050,M,class 4,35,Math,10/9/2011
P0050,M,class 4,34,History,10/9/2011
P0050,M,class 4,41,English,9/9/2011
P0050,M,class 4,68,Math,9/9/2011
P0050,M,class 4,40,History,9/9/2011
P0050,M,class 4,68,English,8/10/2011
P0050,M,class 4,29,Math,8/10/2011
P0050,M,class 4,14,History,8/10/2011
P0050,M,class 4,1,English,7/11/2011
P0050,M,class 4,25,Math,7/11/2011
